fdate,target_current_pair,predict_time,prediction,confidence_0,confidence_1,is_positive,model_version,fdate_hive_part,confidence,direction,year_week
20250523,USDCNH,2025-05-23 21:00:00,0.47228664,0.8319444444,0.11875,0,v3,p_20250523,0.8319444444,BEARISH,2025_20
20250523,USDCNH,2025-05-23 22:00:00,0.5594282,0.025,0.4909722222,1,v3,p_20250523,0.4909722222,BULLISH,2025_20
20250523,USDCNH,2025-05-23 23:00:00,0.61664754,0.0041666667,0.8604166667,1,v3,p_20250523,0.8604166667,BULLISH,2025_20
20250524,USDCNH,2025-05-24 00:00:00,0.6388052,0.9986111111,0.7934027778,1,v3,p_20250524,0.7934027778,BULLISH,2025_20
20250529,USDCNH,2025-05-29 20:00:00,0.47793457,0.6993055556,0.6510416667,0,v3,p_20250529,0.6993055556,BEARISH,2025_21
20250529,USDCNH,2025-05-29 20:30:00,0.4976665,0.1951388889,0.6385416667,0,v3,p_20250529,0.1951388889,BEARISH,2025_21
20250529,USDCNH,2025-05-29 21:00:00,0.6054222,0.0399305556,0.690625,1,v3,p_20250529,0.690625,BULLISH,2025_21
20250529,USDCNH,2025-05-29 21:30:00,0.622661,0.0722222222,0.9076388889,1,v3,p_20250529,0.9076388889,BULLISH,2025_21
20250529,USDCNH,2025-05-29 22:00:00,0.3870729,0.7336805556,0.8899305556,0,v3,p_20250529,0.7336805556,BEARISH,2025_21
20250529,USDCNH,2025-05-29 22:30:00,0.46823642,0.8982638889,0.7190972222,0,v3,p_20250529,0.8982638889,BEARISH,2025_21
20250529,USDCNH,2025-05-29 23:00:00,0.3705937,0.3559027778,0.6309027778,0,v3,p_20250529,0.3559027778,BEARISH,2025_21
20250529,USDCNH,2025-05-29 23:30:00,0.49744973,0.0204861111,0.1628472222,0,v3,p_20250529,0.0204861111,BEARISH,2025_21
20250530,USDCNH,2025-05-30 00:00:00,0.42497823,0.11875,0.3506944444,0,v3,p_20250530,0.11875,BEARISH,2025_21
20250530,USDCNH,2025-05-30 00:30:00,0.47576788,0.2190972222,0.4496527778,0,v3,p_20250530,0.2190972222,BEARISH,2025_21
20250530,USDCNH,2025-05-30 10:00:00,0.4300379,0.03125,0.5649305556,0,v3,p_20250530,0.03125,BEARISH,2025_21
20250530,USDCNH,2025-05-30 10:30:00,0.35564262,0.2996527778,0.4972222222,0,v3,p_20250530,0.2996527778,BEARISH,2025_21
20250530,USDCNH,2025-05-30 11:00:00,0.5105519,0.4173611111,0.7309027778,1,v3,p_20250530,0.7309027778,BULLISH,2025_21
20250530,USDCNH,2025-05-30 11:30:00,0.5066473,0.5940972222,0.2572916667,1,v3,p_20250530,0.2572916667,BULLISH,2025_21
20250530,USDCNH,2025-05-30 12:00:00,0.5416537,0.228125,0.3888888889,1,v3,p_20250530,0.3888888889,BULLISH,2025_21
20250530,USDCNH,2025-05-30 12:30:00,0.45017928,0.0614583333,0.4861111111,0,v3,p_20250530,0.0614583333,BEARISH,2025_21
20250530,USDCNH,2025-05-30 13:00:00,0.46699882,0.7097222222,0.1996527778,0,v3,p_20250530,0.7097222222,BEARISH,2025_21
20250530,USDCNH,2025-05-30 13:30:00,0.45914307,0.4579861111,0.0361111111,0,v3,p_20250530,0.4579861111,BEARISH,2025_21
20250530,USDCNH,2025-05-30 14:00:00,0.571504,0.0413194444,0.0506944444,0,v3,p_20250530,0.0506944444,BULLISH,2025_21
20250530,USDCNH,2025-05-30 14:30:00,0.5404777,0.0583333333,0.4559027778,1,v3,p_20250530,0.4559027778,BULLISH,2025_21
20250530,USDCNH,2025-05-30 15:00:00,0.5389538,0.6989583333,0.0357638889,0,v3,p_20250530,0.0357638889,BULLISH,2025_21
20250530,USDCNH,2025-05-30 15:30:00,0.524588,0.8847222222,0.496875,1,v3,p_20250530,0.496875,BULLISH,2025_21
20250530,USDCNH,2025-05-30 16:00:00,0.43255645,0.4638888889,0.0392361111,0,v3,p_20250530,0.4638888889,BEARISH,2025_21
20250530,USDCNH,2025-05-30 16:30:00,0.3148915,0.8503472222,0.0065972222,0,v3,p_20250530,0.8503472222,BEARISH,2025_21
20250530,USDCNH,2025-05-30 17:00:00,0.57397616,0.0319444444,0.0465277778,0,v3,p_20250530,0.0465277778,BULLISH,2025_21
20250530,USDCNH,2025-05-30 17:30:00,0.5799748,0.4746527778,0.1930555556,0,v3,p_20250530,0.1930555556,BULLISH,2025_21
20250530,USDCNH,2025-05-30 18:00:00,0.37244502,0.803125,0.05625,0,v3,p_20250530,0.803125,BEARISH,2025_21
20250530,USDCNH,2025-05-30 18:30:00,0.40775195,0.2652777778,0.3510416667,0,v3,p_20250530,0.2652777778,BEARISH,2025_21
20250530,USDCNH,2025-05-30 19:00:00,0.4635722,0.040625,0.590625,0,v3,p_20250530,0.040625,BEARISH,2025_21
20250530,USDCNH,2025-05-30 19:30:00,0.45425072,0.6131944444,0.3784722222,0,v3,p_20250530,0.6131944444,BEARISH,2025_21
20250530,USDCNH,2025-05-30 20:00:00,0.62679416,0.2072916667,0.4548611111,1,v3,p_20250530,0.4548611111,BULLISH,2025_21
20250530,USDCNH,2025-05-30 20:30:00,0.55602115,0.7368055556,0.6486111111,1,v3,p_20250530,0.6486111111,BULLISH,2025_21
20250530,USDCNH,2025-05-30 21:00:00,0.46538213,0.4861111111,0.2291666667,0,v3,p_20250530,0.4861111111,BEARISH,2025_21
20250530,USDCNH,2025-05-30 21:30:00,0.43798155,0.925,0.0690972222,0,v3,p_20250530,0.925,BEARISH,2025_21
20250530,USDCNH,2025-05-30 22:00:00,0.67024523,0.01875,0.0440972222,0,v3,p_20250530,0.0440972222,BULLISH,2025_21
20250530,USDCNH,2025-05-30 22:30:00,0.64174384,0.096875,0.1777777778,0,v3,p_20250530,0.1777777778,BULLISH,2025_21
20250530,USDCNH,2025-05-30 23:00:00,0.74583846,0.4045138889,0.5947916667,1,v3,p_20250530,0.5947916667,BULLISH,2025_21
20250530,USDCNH,2025-05-30 23:30:00,0.5435763,0.7305555556,0.5840277778,1,v3,p_20250530,0.5840277778,BULLISH,2025_21
20250531,USDCNH,2025-05-31 00:00:00,0.6673647,0.9510416667,0.8847222222,1,v3,p_20250531,0.8847222222,BULLISH,2025_21
