============================================================
  PnL Analysis - 损益分析工具
  http://localhost:5005
============================================================
  已预加载本地数据
============================================================
 * Serving Flask app 'app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5005
 * Running on http://30.61.119.124:5005
Press CTRL+C to quit
127.0.0.1 - - [11/Mar/2026 14:24:26] "GET /api/overview?period=all HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:24:37] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:24:37] "GET /api/periods HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:24:37] "GET /api/overview?period=2026年1月 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:24:37] "GET /api/overview?period=2026年2月 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:24:37] "GET /api/summary/entity?period=all HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:24:37] "GET /api/overview?period=all HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:24:37] "GET /api/waterfall?period=all&dimension=entity HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:24:37] "GET /api/waterfall?period=all&dimension=entity HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:46] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [11/Mar/2026 14:37:46] "GET /api/periods HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:47] "GET /api/overview?period=2026年1月 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:47] "GET /api/overview?period=2026年2月 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:47] "GET /api/overview?period=all HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:47] "GET /api/waterfall?period=all&dimension=entity HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:47] "GET /api/summary/entity?period=all HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:47] "GET /api/waterfall?period=all&dimension=entity HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:55] "POST /api/upload HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:55] "GET /api/overview?period=2026年1月 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:56] "GET /api/overview?period=2026年2月 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:56] "GET /api/overview?period=all HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:56] "GET /api/waterfall?period=all&dimension=entity HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:56] "GET /api/summary/entity?period=all HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:37:56] "GET /api/waterfall?period=all&dimension=entity HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:38:00] "GET /api/summary/detail?period=all HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:38:01] "GET /api/summary/merchant?period=all HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:54:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:54:11] "GET /api/periods HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:54:12] "GET /api/overview?period=2026年1月 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:54:12] "GET /api/overview?period=2026年2月 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:54:12] "GET /api/waterfall?period=all&dimension=entity HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:54:12] "GET /api/summary/entity?period=all HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:54:12] "GET /api/overview?period=all HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:54:12] "GET /api/waterfall?period=all&dimension=entity HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:55:24] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [11/Mar/2026 14:55:24] "GET /api/periods HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:55:24] "GET /api/overview?period=2026年1月 HTTP/1.1" 200 -
127.0.0.1 - - [11/Mar/2026 14:55:24] "GET /api/overview?period=2026年2月 HTTP/1.1" 200 -
